provider,mode,top_k,status,reason,n_cases,hit@5,recall@5,precision@5,mrr,all_relevant@5,prohibited@5,harmful_presence_rate,mean_prohibited_count,useful_before_harmful,negative_empty_rate,mean_context_chars,mean_context_words,mean_latency_ms
bm25,raw,5,ok,,26.0,0.9166666666666666,0.8541666666666666,0.20416666666666666,0.84375,0.7916666666666666,0.125,0.5833333333333334,0.625,0.8,0.0,410.53846153846155,62.38461538461539,0.1707018461204895
dense_lsa,raw,5,ok,,26.0,0.9583333333333334,0.9583333333333334,0.23333333333333334,0.8368055555555556,0.9583333333333334,0.125,0.5833333333333334,0.625,0.8,0.5,420.5769230769231,61.61538461538461,0.4069660383790436
hybrid_rrf,raw,5,ok,,26.0,0.9583333333333334,0.9444444444444444,0.225,0.8555555555555555,0.9166666666666666,0.125,0.5833333333333334,0.625,0.7333333333333333,0.0,442.88461538461536,65.92307692307692,0.7273024230191647
mem0,raw,5,unavailable,mem0 Python package not installed,,,,,,,,,,,,,,
agentmemory,raw,5,unavailable,service unavailable at http://127.0.0.1:3111: ConnectionError,,,,,,,,,,,,,,
membukkit,raw,5,unavailable,membukkit package not installed,,,,,,,,,,,,,,
habitus,raw,5,unavailable,habitus-ai package not installed,,,,,,,,,,,,,,
claude_mem,raw,5,ineligible,provider does not expose a supported raw/no-LLM ingestion path,,,,,,,,,,,,,,
hindsight,raw,5,unavailable,service unavailable at http://127.0.0.1:8888: ConnectionError,,,,,,,,,,,,,,
