provider,mode,k,distractors,status,reason,n_cases,hit@1,recall@1,precision@1,mrr,all_relevant@1,prohibited@1,harmful_presence_rate,mean_prohibited_count,useful_before_harmful,negative_empty_rate,mean_context_chars,mean_context_words,mean_latency_ms,hit_at_k,recall_at_k,precision_at_k,all_relevant_at_k,prohibited_at_k,hit@3,recall@3,precision@3,all_relevant@3,prohibited@3,hit@5,recall@5,precision@5,all_relevant@5,prohibited@5,hit@8,recall@8,precision@8,all_relevant@8,prohibited@8,hit@10,recall@10,precision@10,all_relevant@10,prohibited@10
habitus,raw,1,0,ok,,26.0,0.7083333333333334,0.6527777777777778,0.7083333333333334,0.7083333333333334,0.625,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.9090909090909091,0.0,92.1923076923077,13.692307692307692,11.833683923039363,0.7083333333333334,0.6527777777777778,0.7083333333333334,0.625,0.041666666666666664,,,,,,,,,,,,,,,,,,,,
habitus,raw,3,0,ok,,26.0,,,,0.7847222222222222,,,0.25,0.2916666666666667,0.9230769230769231,0.0,264.5769230769231,39.88461538461539,11.685009077085011,0.875,0.7986111111111112,0.3055555555555555,0.75,0.09722222222222221,0.875,0.7986111111111112,0.3055555555555555,0.75,0.09722222222222221,,,,,,,,,,,,,,,
habitus,raw,5,0,ok,,26.0,,,,0.7847222222222222,,,0.25,0.2916666666666667,0.9230769230769231,0.0,264.5769230769231,39.88461538461539,11.595454884697505,0.875,0.7986111111111112,0.3055555555555555,0.75,0.09722222222222221,,,,,,0.875,0.7986111111111112,0.3055555555555555,0.75,0.09722222222222221,,,,,,,,,,
habitus,raw,8,0,ok,,26.0,,,,0.7847222222222222,,,0.25,0.2916666666666667,0.9230769230769231,0.0,264.5769230769231,39.88461538461539,11.702105692200767,0.875,0.7986111111111112,0.3055555555555555,0.75,0.09722222222222221,,,,,,,,,,,0.875,0.7986111111111112,0.3055555555555555,0.75,0.09722222222222221,,,,,
habitus,raw,10,0,ok,,26.0,,,,0.7847222222222222,,,0.25,0.2916666666666667,0.9230769230769231,0.0,264.5769230769231,39.88461538461539,11.69728423068451,0.875,0.7986111111111112,0.3055555555555555,0.75,0.09722222222222221,,,,,,,,,,,,,,,,0.875,0.7986111111111112,0.3055555555555555,0.75,0.09722222222222221
