INDUCTION	INJECTED-PASS	2026-09-24T19:47:53.588Z	director and duty are passive receivers (pinned bytes, probe recorded through the real wake)
PRECONDITION	INJECTED-INVALID	2026-09-24T19:47:58.728Z	incident resolved at 2026-09-24T19:47:54Z before the plan's decide (at decision entry): the ladder test is invalid, not a product result
