provider,mode,top_k,distractors,status,reason,n_cases,hit@5,recall@5,precision@5,mrr,all_relevant@5,prohibited@5,harmful_presence_rate,mean_prohibited_count,useful_before_harmful,negative_empty_rate,mean_context_chars,mean_context_words,mean_latency_ms
claude_mem_fts5_core,raw,5,0,ok,,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0247215383261881
claude_mem_chroma_lsa,raw,5,0,ok,,26.0,0.20833333333333334,0.20833333333333334,0.04166666666666667,0.1875,0.20833333333333334,0.016666666666666666,0.08333333333333333,0.08333333333333333,1.0,0.0,458.88461538461536,69.5,0.41893938459207464
claude_mem_chroma_lsa_no_recency,raw,5,0,ok,,26.0,0.9583333333333334,0.9583333333333334,0.23333333333333334,0.8368055555555556,0.9583333333333334,0.125,0.5833333333333334,0.625,0.8,0.0,435.46153846153845,64.03846153846153,0.34935153850640815
dense_lsa,raw,5,0,ok,,26.0,0.9583333333333334,0.9583333333333334,0.23333333333333334,0.8368055555555556,0.9583333333333334,0.125,0.5833333333333334,0.625,0.8,0.5,420.5769230769231,61.61538461538461,0.6826925385981807
tfidf_cosine,raw,5,0,ok,,26.0,0.875,0.8611111111111112,0.37777777777777777,0.7708333333333334,0.8333333333333334,0.1527777777777778,0.5833333333333334,0.625,0.6666666666666666,0.5,297.6923076923077,44.15384615384615,1.2300149231193176
bm25,raw,5,0,ok,,26.0,0.9166666666666666,0.8541666666666666,0.20416666666666666,0.84375,0.7916666666666666,0.125,0.5833333333333334,0.625,0.8,0.0,410.53846153846155,62.38461538461539,0.47873399993337584
