wait:both fixtures confirmed the priming	INJECTED-INCOMPLETE	2026-09-24T19:04:14.971Z	not reached in 120s
INDUCTION	INJECTED-INVALID	2026-09-24T19:04:14.974Z	confirmation missing or wrong: director '00000000000000000000000000000000', duty '00000000000000000000000000000000'
