wait:both passive receivers recorded their probe	INCOMPLETE	2026-09-24T19:42:31.658Z	not reached in 60s
INDUCTION	INVALID	2026-09-24T19:42:31.659Z	a passive receiver did not record its probe (director/duty not passive or not running)
