capture	PASS	2026-09-24T03:48:17.323Z	prior state captured in /tmp/claude-1000/-var-home-bmosher/09b5ba50-67c7-4535-b27c-5baa3e1c4fa8/scratchpad/cutsb-wjmt/n7/ev/pre (state.tsv: 4 units; 0 existing unit files kept)
switch	FAIL	seat identity mismatch in profile campaign4: 00000000-bogus (kiln) not registered
